"skill","avg_salary"
"snowflake","165000.00"
"spark","165000.00"
"bigquery","165000.00"
"gcp","165000.00"
"java","165000.00"
"scala","165000.00"
"nosql","164695.50"
"flow","151239.25"
"c#","138087.50"
"aws","132735.00"
"azure","131144.63"
"sql","121107.14"
"databricks","111225.00"
"r","111175.00"
"ssrs","111175.00"
"sharepoint","93708.33"
"python","93283.33"
"sql server","93283.33"
"ssis","93283.33"
"sap","91823.33"
"word","84975.00"
"power bi","83709.50"
"sheets","83081.50"
"powerpoint","81672.50"
"gdpr","80850.00"
"excel","80680.08"
"go","64596.43"
"express","54988.00"
